Question Number,Name,Tags,Time,总结,Complexity,Link
1," Two Sum","Array, HashMap",2mins,,"Time: O(n), Space: O(n)",
121,Best Time to Buy and Sell Stock,"Array, Greedy",5mins,,"Time: O(n), Space: O(1)",
238,Product of Array Except Self,"Array, PrefixProduct, SuffixProduct",10mins,,"Time: O(n), Space: O(n)",
53,Maximum Subarray,"Array, DP",20mins,"Key Point: prefix sum ≥ 0, we need to sum it up with the current number since we probably are able to make the sum bigger","Time: O(n), Space: O(n)",
152,Maximum Product Subarray,"Array, DP",需要再次巩固,1. dp[i] -> 包含num[i]能形成的最大值与最小值 2. 自成一体 或者 和之前的结合,"Time: O(n), Space: O(n)",https://leetcode.com/problems/maximum-product-subarray/description/
153,Find Minimum in Rotated Sorted Array,"Array, BinarySearch",牢记模版 (find pivot),"1. while (left < right) 2. nums[mid] vs nums[right] 3. left = mid + 1, right = mid","Time: O(logn), Space: O(1)",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/
852,Peak Index in a Mountain Array,"Array, BinarySearch",牢记模版 (find mountain summit),"1. while (left < right) 2. nums[mid] vs nums[mid + 1] 3. left = mid + 1, right = mid","Time: O(logn), Space: O(1)",https://leetcode.com/problems/peak-index-in-a-mountain-array/description/
33,Search in Rotated Sorted Array,"Array, BinarySearch",find pivot combined with standard binary search,,"Time: O(logn), Space: O(1)",https://leetcode.com/problems/search-in-rotated-sorted-array/description/
15, 3Sum,"Array, Double Pointer, Sort",15mins,需要巧妙的运用while循环来取重和移动指针 while (left < right && nums[left] == nums[++left]); while (left < right && nums[right] == nums[--right]); 以及while摆放的位置,Time: O(nlogn + n^2) Space: O(nlogn),https://leetcode.com/problems/3sum/description/
11,Container With Most Water,"Array, Double Pointer",5mins,数学思想：当宽变小了，只能增加高，面积才有可能变大，所以移动height更低的指针,"Time: O(n), Space: O(1)",
371,Sum of Two Integers,Bit,背答案吧。。,,,https://leetcode.com/problems/sum-of-two-integers/description/
191,Number of 1 Bits,Bit,1mins,n & (n-1) → 抹掉最高位的1,,
338,Counting Bits,"Bit, DP",忘记最优解,最高有效位：标记每一轮循环的开始， 以前一轮为基础对新一轮1的个数进行更新,"Time: O(n), Space: O(n)",https://leetcode.com/problems/counting-bits/description/
268,Missing Number,Math,1mins,求和公式,"Time: O(n), Space: O(1)",
70,Climbing Stairs,DP,1mins,"dp[0] = 1;
dp[1] = 1; 
dp[i] = dp[i - 1] + dp[i - 2];","Time: O(n), Space: O(n)",
322,Coin Change,DP,20mins,可以从二维dp降低为一维dp，amount为外循环,,https://leetcode.com/problems/coin-change/description/
300,Longest Increasing Subsequence,DP,15mins,"dp[i]定义: 包括nums[i]的Longest Increasing Subsequence

但是结果不是直接return dp[len - 1]，因为最长有可能并不是在包括最后一位的时候，有可能是在前面，所以最后需要for loop取dp中的最大值",,https://leetcode.com/problems/longest-increasing-subsequence/description/
1143,"Longest Common Subsequence ",DP,"10mins

经典题目","两个for loop类似于双指针在str上面游走，两种dp更新→两个char相同或者不同

if (char1 == char2) {
      dp[i][j] = dp[i - 1][j - 1] + 1;
} else {
      dp[i][j] = Math.max(dp[i - 1][j], dp[i][j - 1]);
}",,https://leetcode.com/problems/longest-common-subsequence/description/
